#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,6066531.05,0.00,6066531.05,-6066531.05,6066531.05,6066531.05
CPTY_A,2016-05-06,0.248634,6056637.15,51648.32,13317046.27,0.00,6053161.26,6066531.05
CPTY_A,2016-08-05,0.497268,6276312.21,303541.41,17562801.81,0.00,6268183.83,6268183.83
CPTY_A,2016-11-07,0.754098,6567456.88,534303.85,21053918.02,0.00,6552259.52,6552259.52
CPTY_A,2017-02-06,1.003002,6809709.51,807394.84,22995004.77,0.00,6788098.88,6788098.88
CPTY_A,2017-05-05,1.244098,7290325.16,1197163.41,21253139.27,0.00,7260039.13,7260039.13
CPTY_A,2017-08-07,1.501632,8044318.54,1666998.68,24955221.85,0.00,8003753.23,8003753.23
CPTY_A,2017-11-06,1.750947,8350165.28,1837586.32,25166974.89,0.00,8300641.67,8300641.67
CPTY_A,2018-02-05,2.000262,7908157.83,1817410.51,29318964.77,0.00,7852895.33,8300641.67
CPTY_A,2018-05-08,2.252317,8275830.44,2012746.17,28201385.01,0.00,8212765.62,8300641.67
CPTY_A,2018-08-06,2.498892,8042394.10,2080751.51,26747475.31,0.00,7976423.44,8300641.67
CPTY_A,2018-11-05,2.748207,8786348.95,2508820.49,31006669.19,0.00,8709103.86,8709103.86
CPTY_A,2019-02-05,3.000262,9387732.50,2752931.98,37392930.99,0.00,9299617.10,9299617.10
CPTY_A,2019-05-07,3.249577,9043607.98,2770943.92,34261463.74,0.00,8956986.51,9299617.10
CPTY_A,2019-08-05,3.496152,9324937.32,2939002.96,31870064.44,0.00,9234155.44,9299617.10
CPTY_A,2019-11-05,3.748207,9657126.77,3142229.16,35275997.89,0.00,9561559.42,9561559.42
CPTY_A,2020-02-05,4.000000,9508084.72,3293855.74,35378772.58,0.00,9412465.01,9561559.42
CPTY_A,2020-05-05,4.245902,8926793.11,3363679.44,34219624.33,0.00,8839415.22,9561559.42
CPTY_A,2020-08-05,4.497268,9956584.35,3727539.50,49093397.80,0.00,9862168.60,9862168.60
CPTY_A,2020-11-05,4.748634,8834652.57,3632586.72,40797152.30,0.00,8753575.86,9862168.60
CPTY_A,2021-02-05,5.000262,8436248.65,3694001.83,45446726.58,0.00,8361407.23,9862168.60
CPTY_A,2021-05-05,5.244098,8512307.68,3709470.74,32081232.82,0.00,8446331.03,9862168.60
CPTY_A,2021-08-05,5.496152,7956148.57,3658498.97,25034451.74,0.00,7904114.38,9862168.60
CPTY_A,2021-11-05,5.748207,7666057.31,3622889.87,29625831.34,0.00,7625212.31,9862168.60
CPTY_A,2022-02-07,6.005741,8018593.02,3765434.88,27567183.37,0.00,7985812.50,9862168.60
CPTY_A,2022-05-05,6.244098,8300232.08,4083739.10,35855413.94,0.00,8281264.66,9862168.60
CPTY_A,2022-08-05,6.496152,8740631.84,4058648.95,31629198.44,0.00,8737569.53,9862168.60
CPTY_A,2022-11-07,6.753687,8650665.00,4467840.16,38187378.55,0.00,8664769.01,9862168.60
CPTY_A,2023-02-06,7.003002,8426940.82,4597896.38,29204899.34,0.00,8456870.53,9862168.60
CPTY_A,2023-05-05,7.244098,8667464.73,4617425.48,36792691.56,0.00,8719147.89,9862168.60
CPTY_A,2023-08-07,7.501632,9734868.64,4914605.50,31367005.22,0.00,9818325.30,9862168.60
CPTY_A,2023-11-06,7.750947,9839616.93,5171488.35,36510703.28,0.00,9948897.53,9948897.53
CPTY_A,2024-02-05,8.000000,9903530.48,5306850.33,32021778.35,0.00,10038671.76,10038671.76
CPTY_A,2024-05-07,8.251366,10047583.96,5554530.72,38435866.41,0.00,10215436.15,10215436.15
CPTY_A,2024-08-05,8.497268,9979873.60,5825551.35,36600268.03,0.00,10176949.96,10215436.15
CPTY_A,2024-11-05,8.748634,10057619.14,5907598.87,41701140.16,0.00,10287596.99,10287596.99
CPTY_A,2025-02-05,9.000262,10389556.91,6184854.42,40345129.07,0.00,10659625.37,10659625.37
CPTY_A,2025-05-06,9.246837,10727199.13,6335505.95,53011905.68,0.00,11044437.01,11044437.01
CPTY_A,2025-08-05,9.496152,11046372.61,6587257.91,51484930.90,0.00,11413572.05,11413572.05
CPTY_A,2025-11-05,9.748207,11425332.85,6631640.87,59759736.92,0.00,11847654.68,11847654.68
CPTY_A,2026-02-05,10.000262,11450685.68,6760120.08,56642443.35,0.00,11916717.66,11916717.66
CPTY_A,2026-05-05,10.244098,12679289.88,5851719.73,58367799.17,0.00,13241624.37,13241624.37
CPTY_A,2026-08-05,10.496152,11786305.53,5935628.74,55843676.34,0.00,12353702.08,13241624.37
CPTY_A,2026-11-05,10.748207,11751403.34,5619427.42,60928785.31,0.00,12361815.50,13241624.37
CPTY_A,2027-02-05,11.000262,11343694.17,5610696.36,54343624.60,0.00,11976230.06,13241624.37
CPTY_A,2027-05-05,11.244098,11175570.46,5584925.13,56748143.97,0.00,11840147.74,13241624.37
CPTY_A,2027-08-05,11.496152,10790220.51,5629958.90,55804391.51,0.00,11473365.71,13241624.37
CPTY_A,2027-11-05,11.748207,10700085.52,5753651.86,44264996.25,0.00,11418810.39,13241624.37
CPTY_A,2028-02-07,12.005464,10646529.82,5694784.94,46686331.21,0.00,11403783.97,13241624.37
CPTY_A,2028-05-05,12.245902,10476606.17,5829100.90,39272618.76,0.00,11263499.02,13241624.37
CPTY_A,2028-08-07,12.502732,9857427.25,5835443.84,43734570.58,0.00,10640009.63,13241624.37
CPTY_A,2028-11-06,12.751366,10227558.68,6053639.73,52500136.19,0.00,11082074.80,13241624.37
CPTY_A,2029-02-05,13.000262,10729589.12,5973757.04,59672193.70,0.00,11670859.61,13241624.37
CPTY_A,2029-05-08,13.252317,11577008.06,6006830.32,68605449.88,0.00,12641689.08,13241624.37
CPTY_A,2029-08-06,13.498892,12770175.08,5976282.09,77612126.99,0.00,13997739.88,13997739.88
CPTY_A,2029-11-05,13.748207,13610176.59,5925290.39,70195648.56,0.00,14975988.01,14975988.01
CPTY_A,2030-02-05,14.000262,12722575.50,5689681.16,64273953.67,0.00,14053864.96,14975988.01
CPTY_A,2030-05-07,14.249577,12083168.78,5630039.93,59372298.99,0.00,13398995.40,14975988.01
CPTY_A,2030-08-05,14.496152,12439898.50,5461270.30,76017168.52,0.00,13847154.27,14975988.01
CPTY_A,2030-11-05,14.748207,9951314.50,5354108.45,59575930.98,0.00,11120214.42,14975988.01
CPTY_A,2031-02-05,15.000262,9060445.37,5314772.07,53873201.18,0.00,10164154.81,14975988.01
CPTY_A,2031-05-06,15.246837,8283990.60,5172315.53,43928250.42,0.00,9325951.51,14975988.01
CPTY_A,2031-08-05,15.496152,8523827.85,5078804.61,43729005.93,0.00,9630046.32,14975988.01
CPTY_A,2031-11-05,15.748207,7354175.32,4814910.68,40753265.65,0.00,8338439.08,14975988.01
CPTY_A,2032-02-05,16.000000,6695105.12,4924762.30,53802639.02,0.00,7618426.05,14975988.01
CPTY_A,2032-05-05,16.245902,7196420.98,4855819.30,47724623.01,0.00,8217650.05,14975988.01
CPTY_A,2032-08-05,16.497268,6645096.11,4405891.35,41210219.78,0.00,7615342.20,14975988.01
CPTY_A,2032-11-05,16.748634,6087227.62,4130776.42,38298591.02,0.00,7001075.70,14975988.01
CPTY_A,2033-02-07,17.005741,5279351.12,4267408.01,35395560.46,0.00,6094200.02,14975988.01
CPTY_A,2033-05-05,17.244098,5063490.84,4016877.70,28099678.57,0.00,5864873.33,14975988.01
CPTY_A,2033-08-05,17.496152,4507501.96,3790511.08,19141789.20,0.00,5239641.91,14975988.01
CPTY_A,2033-11-07,17.753687,3973382.62,3471112.86,19145714.93,0.00,4635717.86,14975988.01
CPTY_A,2034-02-06,18.003002,3396896.54,3560856.96,15819284.18,0.00,3977215.08,14975988.01
CPTY_A,2034-05-05,18.244098,3072261.86,3314054.25,14948992.36,0.00,3609477.70,14975988.01
CPTY_A,2034-08-07,18.501632,2902502.61,2946619.29,12360729.42,0.00,3422549.03,14975988.01
CPTY_A,2034-11-06,18.750947,2889599.45,2822036.28,21147164.34,0.00,3419438.96,14975988.01
CPTY_A,2035-02-05,19.000262,2501791.95,2892996.37,11754834.75,0.00,2971040.36,14975988.01
CPTY_A,2035-05-08,19.252317,2827809.03,2610824.25,17398737.11,0.00,3370268.59,14975988.01
CPTY_A,2035-08-06,19.498892,2712252.41,2352021.17,12677606.28,0.00,3243902.30,14975988.01
CPTY_A,2035-11-05,19.748207,2284854.21,2054895.21,12872645.65,0.00,2742434.76,14975988.01
CPTY_A,2036-02-05,20.000000,2216513.47,2121787.04,9576952.94,0.00,2669963.11,14975988.01
CPTY_A,2036-05-06,20.248634,2086939.68,1830058.48,9642067.45,0.00,2521492.00,14975988.01
CPTY_A,2036-08-05,20.497268,2141221.18,1517463.59,13482748.93,0.00,2594795.23,14975988.01
CPTY_A,2036-11-05,20.748634,2109167.32,1271479.72,9168781.12,0.00,2563661.48,14975988.01
