#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
SwaptionCash_41,2016-02-05,0.000000,1090969,0,0,0,1090969,1090969,1090969
SwaptionCash_41,2016-05-06,0.248634,1067376,0,0,0,1067376,1066763,1090969
SwaptionCash_41,2016-08-05,0.497268,1043166,0,0,0,1043166,1041815,1090969
SwaptionCash_41,2016-11-07,0.754098,1017571,0,0,0,1017571,1015216,1090969
SwaptionCash_41,2017-02-06,1.003002,992120,0,0,0,992120,988972,1090969
SwaptionCash_41,2017-05-05,1.244098,967680,0,0,0,967680,963660,1090969
SwaptionCash_41,2017-08-07,1.501632,940915,0,0,0,940915,936170,1090969
SwaptionCash_41,2017-11-06,1.750947,915379,0,0,0,915379,909950,1090969
SwaptionCash_41,2018-02-05,2.000262,889075,0,0,0,889075,882862,1090969
SwaptionCash_41,2018-05-08,2.252317,863393,0,0,0,863393,856814,1090969
SwaptionCash_41,2018-08-06,2.498892,837567,0,0,0,837567,830696,1090969
SwaptionCash_41,2018-11-05,2.748207,810876,0,0,0,810876,803747,1090969
SwaptionCash_41,2019-02-05,3.000262,783271,0,0,0,783271,775919,1090969
SwaptionCash_41,2019-05-07,3.249577,758091,0,0,0,758091,750830,1090969
SwaptionCash_41,2019-08-05,3.496152,732612,0,0,0,732612,725480,1090969
SwaptionCash_41,2019-11-05,3.748207,705970,0,0,0,705970,698984,1090969
SwaptionCash_41,2020-02-05,4.000000,678693,0,0,0,678693,671868,1090969
SwaptionCash_41,2020-05-05,4.245902,652610,0,0,0,652610,646222,1090969
SwaptionCash_41,2020-08-05,4.497268,625591,0,0,0,625591,619658,1090969
SwaptionCash_41,2020-11-05,4.748634,598930,0,0,0,598930,593434,1090969
SwaptionCash_41,2021-02-05,5.000262,572223,0,0,0,572223,567146,1090969
SwaptionCash_41,2021-05-05,5.244098,549469,0,0,0,549469,545211,1090969
SwaptionCash_41,2021-08-05,5.496152,525582,0,0,0,525582,522145,1090969
SwaptionCash_41,2021-11-05,5.748207,501266,0,0,0,501266,498595,1090969
SwaptionCash_41,2022-02-07,6.005741,475992,0,0,0,475992,474046,1090969
SwaptionCash_41,2022-05-05,6.244098,452215,0,0,0,452215,451181,1090969
SwaptionCash_41,2022-08-05,6.496152,426722,0,0,0,426722,426573,1090969
SwaptionCash_41,2022-11-07,6.753687,401948,0,0,0,401948,402603,1090969
SwaptionCash_41,2023-02-06,7.003002,378471,0,0,0,378471,379815,1090969
SwaptionCash_41,2023-05-05,7.244098,353566,0,0,0,353566,355674,1090969
SwaptionCash_41,2023-08-07,7.501632,326437,0,0,0,326437,329236,1090969
SwaptionCash_41,2023-11-06,7.750947,300345,0,0,0,300345,303681,1090969
SwaptionCash_41,2024-02-05,8.000000,274393,0,0,0,274393,278137,1090969
SwaptionCash_41,2024-05-07,8.251366,248735,0,0,0,248735,252890,1090969
SwaptionCash_41,2024-08-05,8.497268,223424,0,0,0,223424,227836,1090969
SwaptionCash_41,2024-11-05,8.748634,197890,0,0,0,197890,202415,1090969
SwaptionCash_41,2025-02-05,9.000262,172635,0,0,0,172635,177123,1090969
SwaptionCash_41,2025-05-06,9.246837,148243,0,0,0,148243,152627,1090969
SwaptionCash_41,2025-08-05,9.496152,123525,0,0,0,123525,127631,1090969
SwaptionCash_41,2025-11-05,9.748207,99146,0,0,0,99146,102811,1090969
SwaptionCash_41,2026-02-05,10.000262,75409,0,0,0,75409,78478,1090969
SwaptionCash_41,2026-05-05,10.244098,55042,0,0,0,55042,57483,1090969
SwaptionCash_41,2026-08-05,10.496152,35786,0,0,0,35786,37509,1090969
SwaptionCash_41,2026-11-05,10.748207,19446,0,0,0,19446,20457,1090969
SwaptionCash_41,2027-02-05,11.000262,7234,0,0,0,7234,7638,1090969
SwaptionCash_41,2027-05-05,11.244098,988,0,0,0,988,1047,1090969
SwaptionCash_41,2027-08-05,11.496152,0,0,0,0,0,0,1090969
SwaptionCash_41,2027-11-05,11.748207,0,0,0,0,0,0,1090969
SwaptionCash_41,2028-02-07,12.005464,0,0,0,0,0,0,1090969
SwaptionCash_41,2028-05-05,12.245902,0,0,0,0,0,0,1090969
SwaptionCash_41,2028-08-07,12.502732,0,0,0,0,0,0,1090969
SwaptionCash_41,2028-11-06,12.751366,0,0,0,0,0,0,1090969
SwaptionCash_41,2029-02-05,13.000262,0,0,0,0,0,0,1090969
SwaptionCash_41,2029-05-08,13.252317,0,0,0,0,0,0,1090969
SwaptionCash_41,2029-08-06,13.498892,0,0,0,0,0,0,1090969
SwaptionCash_41,2029-11-05,13.748207,0,0,0,0,0,0,1090969
SwaptionCash_41,2030-02-05,14.000262,0,0,0,0,0,0,1090969
SwaptionCash_41,2030-05-07,14.249577,0,0,0,0,0,0,1090969
SwaptionCash_41,2030-08-05,14.496152,0,0,0,0,0,0,1090969
SwaptionCash_41,2030-11-05,14.748207,0,0,0,0,0,0,1090969
SwaptionCash_41,2031-02-05,15.000262,0,0,0,0,0,0,1090969
SwaptionCash_41,2031-05-06,15.246837,0,0,0,0,0,0,1090969
SwaptionCash_41,2031-08-05,15.496152,0,0,0,0,0,0,1090969
