#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
Swap_A,Swap,2037-02-09,21.011221,399960.115832,EUR,399960.115832,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swap_B,Swap,2037-12-21,21.874235,415984.868486,EUR,415984.868486,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swap_C,Swap,2040-11-07,24.754098,487360.296402,EUR,487360.296402,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swap_D,Swap,2038-12-28,22.893413,439259.609355,EUR,439259.609355,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swap_E,Swap,2040-11-29,24.814208,488883.139317,EUR,488883.139317,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swap_F,Swap,2040-01-11,23.931694,467073.646241,EUR,467073.646241,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swap_14,Swap,2038-11-08,22.756426,437757.625696,EUR,437757.625696,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swap_16,Swap,2037-06-02,21.320810,405527.984769,EUR,405527.984769,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
SwaptionCashPremium_16,Swaption,2027-06-05,11.329029,44067.384578,EUR,44067.384578,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
SwaptionPhysical_80,Swaption,2036-08-06,20.500000,1070622.303086,EUR,1070622.303086,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swap_80,Swap,2036-08-06,20.500000,390634.300456,EUR,390634.300456,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
SwaptionCashPremium_80,Swaption,2026-08-09,10.507111,20287.657238,EUR,20287.657238,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
SwaptionPhysicalPremium_80,Swaption,2036-08-06,20.500000,30848.973247,EUR,30848.973247,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
SwaptionCash_81,Swaption,2030-08-23,14.545467,1175813.762733,EUR,1175813.762733,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
